,State,Commodity,Time,Total Value ($US),Abbrevation
163,New Jersey,360410 Fireworks,2016-01-01,1001430,NJ
164,New Jersey,360410 Fireworks,2017-01-01,1248003,NJ
165,New Jersey,360410 Fireworks,2018-01-01,3498669,NJ
166,New Jersey,360410 Fireworks,2019-01-01,1981527,NJ
167,New Jersey,360410 Fireworks,2020-01-01,2612250,NJ
168,New Jersey,360410 Fireworks,2021-01-01,280648,NJ
169,New Mexico,360410 Fireworks,2016-01-01,211141,NM
170,New Mexico,360410 Fireworks,2017-01-01,223390,NM
171,New Mexico,360410 Fireworks,2018-01-01,193637,NM
172,New Mexico,360410 Fireworks,2019-01-01,104134,NM
173,New Mexico,360410 Fireworks,2020-01-01,236735,NM
174,New Mexico,360410 Fireworks,2021-01-01,131655,NM
175,New York,360410 Fireworks,2016-01-01,3138765,NY
176,New York,360410 Fireworks,2017-01-01,2841791,NY
177,New York,360410 Fireworks,2018-01-01,3103837,NY
178,New York,360410 Fireworks,2019-01-01,2251057,NY
179,New York,360410 Fireworks,2020-01-01,3368009,NY
180,New York,360410 Fireworks,2021-01-01,1546390,NY
181,North Carolina,360410 Fireworks,2016-01-01,276128,NC
182,North Carolina,360410 Fireworks,2017-01-01,197652,NC
183,North Carolina,360410 Fireworks,2018-01-01,275165,NC
184,North Carolina,360410 Fireworks,2019-01-01,513090,NC
185,North Dakota,360410 Fireworks,2016-01-01,2654136,ND
186,North Dakota,360410 Fireworks,2017-01-01,1913692,ND
187,North Dakota,360410 Fireworks,2018-01-01,1680911,ND
188,North Dakota,360410 Fireworks,2019-01-01,2199618,ND
189,North Dakota,360410 Fireworks,2020-01-01,2209584,ND
190,North Dakota,360410 Fireworks,2021-01-01,980664,ND
191,Ohio,360410 Fireworks,2016-01-01,28969003,OH
192,Ohio,360410 Fireworks,2017-01-01,26514838,OH
193,Ohio,360410 Fireworks,2018-01-01,23636198,OH
194,Ohio,360410 Fireworks,2019-01-01,31140380,OH
195,Ohio,360410 Fireworks,2020-01-01,29260325,OH
196,Ohio,360410 Fireworks,2021-01-01,16071093,OH
197,Oklahoma,360410 Fireworks,2016-01-01,2128409,OK
198,Oklahoma,360410 Fireworks,2017-01-01,1482712,OK
199,Oklahoma,360410 Fireworks,2018-01-01,1933966,OK
200,Oklahoma,360410 Fireworks,2019-01-01,1575292,OK
201,Oklahoma,360410 Fireworks,2020-01-01,1145901,OK
202,Oklahoma,360410 Fireworks,2021-01-01,486499,OK
203,Oregon,360410 Fireworks,2016-01-01,710164,OR
204,Oregon,360410 Fireworks,2017-01-01,891775,OR
205,Oregon,360410 Fireworks,2018-01-01,1341795,OR
206,Oregon,360410 Fireworks,2019-01-01,1494905,OR
207,Oregon,360410 Fireworks,2020-01-01,1315321,OR
208,Oregon,360410 Fireworks,2021-01-01,591434,OR
209,Pennsylvania,360410 Fireworks,2016-01-01,7563846,PA
210,Pennsylvania,360410 Fireworks,2017-01-01,8506912,PA
211,Pennsylvania,360410 Fireworks,2018-01-01,14542528,PA
212,Pennsylvania,360410 Fireworks,2019-01-01,15842819,PA
213,Pennsylvania,360410 Fireworks,2020-01-01,12740863,PA
214,Pennsylvania,360410 Fireworks,2021-01-01,6736289,PA
215,Puerto Rico,360410 Fireworks,2019-01-01,3512,PR
216,Rhode Island,360410 Fireworks,2017-01-01,138439,RI
217,Rhode Island,360410 Fireworks,2018-01-01,247992,RI
218,Rhode Island,360410 Fireworks,2019-01-01,22629,RI
219,Rhode Island,360410 Fireworks,2021-01-01,26424,RI
220,South Carolina,360410 Fireworks,2016-01-01,19483456,SC
221,South Carolina,360410 Fireworks,2017-01-01,18999940,SC
222,South Carolina,360410 Fireworks,2018-01-01,24564918,SC
223,South Carolina,360410 Fireworks,2019-01-01,18913998,SC
224,South Carolina,360410 Fireworks,2020-01-01,20753332,SC
225,South Carolina,360410 Fireworks,2021-01-01,13809613,SC
226,South Dakota,360410 Fireworks,2016-01-01,1542888,SD
227,South Dakota,360410 Fireworks,2017-01-01,914388,SD
228,South Dakota,360410 Fireworks,2018-01-01,1332329,SD
229,South Dakota,360410 Fireworks,2019-01-01,1916672,SD
230,South Dakota,360410 Fireworks,2020-01-01,2368591,SD
231,South Dakota,360410 Fireworks,2021-01-01,4020724,SD
232,Tennessee,360410 Fireworks,2016-01-01,7138557,TN
233,Tennessee,360410 Fireworks,2017-01-01,6690239,TN
234,Tennessee,360410 Fireworks,2018-01-01,7003917,TN
235,Tennessee,360410 Fireworks,2019-01-01,8806261,TN
236,Tennessee,360410 Fireworks,2020-01-01,7044736,TN
237,Tennessee,360410 Fireworks,2021-01-01,3376347,TN
238,Texas,360410 Fireworks,2016-01-01,17973475,TX
239,Texas,360410 Fireworks,2017-01-01,17158599,TX
240,Texas,360410 Fireworks,2018-01-01,16931495,TX
241,Texas,360410 Fireworks,2019-01-01,17435374,TX
242,Texas,360410 Fireworks,2020-01-01,16714499,TX
243,Texas,360410 Fireworks,2021-01-01,9361768,TX
244,Utah,360410 Fireworks,2016-01-01,3778233,UT
245,Utah,360410 Fireworks,2017-01-01,2671881,UT
246,Utah,360410 Fireworks,2018-01-01,3773807,UT
247,Utah,360410 Fireworks,2019-01-01,3149085,UT
248,Utah,360410 Fireworks,2020-01-01,3387747,UT
249,Utah,360410 Fireworks,2021-01-01,1883195,UT
250,Vermont,360410 Fireworks,2016-01-01,235655,VT
251,Vermont,360410 Fireworks,2017-01-01,355610,VT
252,Vermont,360410 Fireworks,2018-01-01,346753,VT
253,Vermont,360410 Fireworks,2019-01-01,186337,VT
254,Vermont,360410 Fireworks,2020-01-01,318784,VT
255,Virginia,360410 Fireworks,2016-01-01,677384,VA
256,Virginia,360410 Fireworks,2017-01-01,1113267,VA
257,Virginia,360410 Fireworks,2018-01-01,1649292,VA
258,Virginia,360410 Fireworks,2019-01-01,1426308,VA
259,Virginia,360410 Fireworks,2020-01-01,1520414,VA
260,Virginia,360410 Fireworks,2021-01-01,517576,VA
261,Washington,360410 Fireworks,2016-01-01,6420545,WA
262,Washington,360410 Fireworks,2017-01-01,9339828,WA
263,Washington,360410 Fireworks,2018-01-01,10739279,WA
264,Washington,360410 Fireworks,2019-01-01,10587756,WA
265,Washington,360410 Fireworks,2020-01-01,11966065,WA
266,Washington,360410 Fireworks,2021-01-01,5613285,WA
267,West Virginia,360410 Fireworks,2016-01-01,34047,WV
268,West Virginia,360410 Fireworks,2017-01-01,173825,WV
269,West Virginia,360410 Fireworks,2018-01-01,300212,WV
270,West Virginia,360410 Fireworks,2019-01-01,180721,WV
271,West Virginia,360410 Fireworks,2020-01-01,168831,WV
272,West Virginia,360410 Fireworks,2021-01-01,179820,WV
273,Wisconsin,360410 Fireworks,2016-01-01,8866292,WI
274,Wisconsin,360410 Fireworks,2017-01-01,8052014,WI
275,Wisconsin,360410 Fireworks,2018-01-01,10827106,WI
276,Wisconsin,360410 Fireworks,2019-01-01,7936230,WI
277,Wisconsin,360410 Fireworks,2020-01-01,6376219,WI
278,Wisconsin,360410 Fireworks,2021-01-01,3590450,WI
279,Wyoming,360410 Fireworks,2016-01-01,1655074,WY
280,Wyoming,360410 Fireworks,2017-01-01,1853759,WY
281,Wyoming,360410 Fireworks,2018-01-01,2565544,WY
282,Wyoming,360410 Fireworks,2019-01-01,2390366,WY
283,Wyoming,360410 Fireworks,2020-01-01,2208173,WY
284,Wyoming,360410 Fireworks,2021-01-01,606265,WY
